timestamp,sample_count,seq,f_ch1_delta,f_ch1_theta,f_ch1_alpha,f_ch1_beta,f_ch1_gamma,f_ch2_delta,f_ch2_theta,f_ch2_alpha,f_ch2_beta,f_ch2_gamma
1776770580.8881786,8750,45,4.3303123,3.7109325,5.1647706,2.7219017,2.313217,3.9959595,4.047817,5.0736313,2.6928644,2.2236168
1776770581.8879597,9000,39,4.3323445,3.7095897,5.165193,2.715708,2.323838,4.0017533,4.053714,5.0737586,2.6852238,2.2319736
1776770582.8879972,9250,33,4.335318,3.7063062,5.164879,2.7157428,2.330368,3.9968522,4.0586057,5.0746064,2.6797407,2.246066
1776770583.8882203,9500,27,4.2594776,3.6907618,5.1600003,2.6891775,2.3052762,3.8756561,4.0644,5.075811,2.6396952,2.242364
1776770584.8882062,9750,21,4.0454564,3.6546943,5.158148,2.6026082,2.2735956,3.2106655,4.0636234,5.0761127,2.5643919,2.2130725
1776770585.8879724,10000,15,3.8237202,3.6189835,5.157619,2.507881,2.2371118,2.6715138,4.063329,5.075744,2.4933736,2.1622932
1776770586.8884306,10250,9,3.704291,3.600215,5.1627083,2.450764,2.2267656,2.2718704,4.0580554,5.073625,2.4577143,2.1405008
1776770587.888103,10500,3,3.694748,3.5987747,5.1648235,2.4620383,2.2358468,2.2975342,4.061863,5.0732236,2.462423,2.1421826
1776770588.8880968,10750,253,3.6984756,3.6000311,5.1651397,2.4883235,2.2348216,2.1990829,4.0609813,5.0726976,2.467375,2.1554787
1776770589.8882425,11000,247,3.6898243,3.599782,5.1646323,2.5060728,2.2324493,2.2315996,4.0597787,5.0733814,2.4722939,2.150454
1776770590.8881524,11250,241,3.7026436,3.6034791,5.16359,2.5140553,2.2139294,2.3208334,4.0531507,5.0729413,2.486204,2.1461668
1776770591.8880258,11500,235,3.9174955,3.6339176,5.16514,2.613267,2.2339892,2.9356203,4.0518765,5.0739813,2.5635996,2.2052855
1776770592.8883958,11750,229,4.1206355,3.6692193,5.16594,2.709171,2.2445025,3.4172246,4.0486712,5.074481,2.6381369,2.275161
