timestamp,sample_count,seq,f_ch1_delta,f_ch1_theta,f_ch1_alpha,f_ch1_beta,f_ch1_gamma,f_ch2_delta,f_ch2_theta,f_ch2_alpha,f_ch2_beta,f_ch2_gamma
1775732091.821979,11750,229,4.09653902053833,3.6689984798431396,5.164193630218506,2.6939029693603516,2.321956157684326,3.3271799087524414,4.064525604248047,5.077207088470459,2.584162950515747,2.3047597408294678
1775732092.819989,12000,223,4.316565990447998,3.699902296066284,5.164956569671631,2.8049509525299072,2.3419668674468994,3.945908784866333,4.070565700531006,5.0767083168029785,2.664170503616333,2.3624427318573
1775732093.8165586,12250,217,4.328333377838135,3.701261520385742,5.165285587310791,2.798276901245117,2.3356447219848633,3.9496383666992188,4.078902721405029,5.077291011810303,2.67220401763916,2.386888265609741
1775732094.8257105,12500,211,4.320328712463379,3.6983416080474854,5.165213108062744,2.7902228832244873,2.340876340866089,3.952512741088867,4.084146022796631,5.077561855316162,2.676351547241211,2.4020140171051025
1775732095.8254137,12750,205,4.316357135772705,3.6985437870025635,5.166138172149658,2.7818844318389893,2.3318030834198,3.949110746383667,4.085315704345703,5.079579830169678,2.683164596557617,2.403092861175537
1775732096.8171697,13000,199,4.316757678985596,3.7016375064849854,5.166168212890625,2.7830727100372314,2.3290202617645264,3.9467265605926514,4.0833330154418945,5.079628944396973,2.68619441986084,2.3994758129119873
1775732097.8123875,13250,193,4.252601146697998,3.693704605102539,5.163867473602295,2.741206407546997,2.300747871398926,3.8279597759246826,4.090135097503662,5.0829010009765625,2.651890516281128,2.36653995513916
1775732098.7886984,13500,187,4.055990695953369,3.6630423069000244,5.163597583770752,2.618753433227539,2.2695932388305664,3.35715651512146,4.088354587554932,5.082343578338623,2.588158369064331,2.331886053085327
1775732099.7910316,13750,181,3.8390190601348877,3.6280300617218018,5.162596702575684,2.4872868061065674,2.2378976345062256,2.677720308303833,4.084084987640381,5.083892345428467,2.5327186584472656,2.287583589553833
1775732100.7978137,14000,175,3.696683883666992,3.6023061275482178,5.164405345916748,2.4067065715789795,2.227553606033325,2.253115653991699,4.067511081695557,5.0824666023254395,2.5125348567962646,2.2618770599365234
1775732101.7964957,14250,169,3.6953580379486084,3.600273370742798,5.165171146392822,2.418447256088257,2.216473340988159,2.2354791164398193,4.059847354888916,5.083673477172852,2.5128583908081055,2.2423250675201416
1775732102.8257985,14500,163,3.705660581588745,3.5972204208374023,5.165651321411133,2.4349918365478516,2.2045958042144775,2.294661521911621,4.055552005767822,5.085011959075928,2.5097525119781494,2.2378454208374023
1775732103.821926,14750,157,3.7017080783843994,3.5949201583862305,5.164947509765625,2.437666893005371,2.1913511753082275,2.212388753890991,4.053287029266357,5.085262775421143,2.5058414936065674,2.2299082279205322
1775732104.8009953,15000,151,3.6898365020751953,3.5956602096557617,5.163040637969971,2.4318294525146484,2.1837570667266846,2.1877377033233643,4.048219680786133,5.086008548736572,2.5023412704467773,2.2149722576141357
1775732105.7955432,15250,145,3.88464093208313,3.6291024684906006,5.162421703338623,2.5581445693969727,2.213479518890381,2.8021161556243896,4.044981956481934,5.0847625732421875,2.5588889122009277,2.215136766433716
1775732106.8267386,15500,139,4.095985412597656,3.666624069213867,5.163686275482178,2.7013962268829346,2.2399415969848633,3.426461935043335,4.048330783843994,5.084837913513184,2.621055841445923,2.2273483276367188
1775732107.8237152,15750,133,4.310252666473389,3.6996142864227295,5.163899898529053,2.8387696743011475,2.2678539752960205,3.9420454502105713,4.057243824005127,5.083689212799072,2.6785013675689697,2.2490336894989014
1775732108.8213634,16000,127,4.315018177032471,3.7020719051361084,5.1641316413879395,2.844511032104492,2.2565271854400635,3.9543540477752686,4.060876369476318,5.082359313964844,2.6701231002807617,2.2456281185150146
1775732109.8244784,16250,121,4.323140621185303,3.702644109725952,5.1632561683654785,2.8370895385742188,2.2538294792175293,3.9533474445343018,4.061639308929443,5.081132411956787,2.656137704849243,2.234182357788086
1775732110.8084545,16500,115,4.320185661315918,3.7036654949188232,5.163444995880127,2.8358049392700195,2.2573978900909424,3.957735776901245,4.057825088500977,5.07804536819458,2.647219657897949,2.205913782119751
1775732111.7914805,16750,109,4.327114582061768,3.705817937850952,5.165145397186279,2.8372812271118164,2.2667653560638428,3.9533329010009766,4.05952787399292,5.0768723487854,2.652801752090454,2.177872657775879
1775732112.792581,17000,103,4.238024711608887,3.694382905960083,5.163267612457275,2.7889575958251953,2.2461488246917725,3.814674139022827,4.067118167877197,5.076900482177734,2.634681463241577,2.157728910446167
