timestamp,sample_count,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
1776940456.403002,18500,-10.99909496307373,-11.292935371398926,-11.110461235046387,-11.307467460632324,-12.333541870117188,-10.920424461364746,-11.170122146606445,-11.036741256713867,-11.23274040222168,-12.157155990600586
1776940457.4032633,19000,-11.000977516174316,-11.385309219360352,-11.17260456085205,-11.257036209106445,-12.329782485961914,-10.930288314819336,-11.25220012664795,-11.10543155670166,-11.186572074890137,-12.154818534851074
1776940458.403051,19500,-11.086487770080566,-11.451815605163574,-11.196803092956543,-11.21458911895752,-12.326606750488281,-11.034914016723633,-11.309672355651855,-11.137370109558105,-11.152331352233887,-12.160712242126465
1776940459.4028723,20000,-11.1157865524292,-11.394988059997559,-11.171894073486328,-11.201696395874023,-12.346027374267578,-11.076906204223633,-11.262351989746094,-11.120796203613281,-11.14733600616455,-12.194295883178711
1776940460.4031572,20500,-11.105111122131348,-11.316180229187012,-11.148508071899414,-11.241226196289062,-12.361042976379395,-11.071916580200195,-11.205193519592285,-11.110342979431152,-11.1892671585083,-12.228715896606445
1776940461.4031854,21000,-11.123762130737305,-11.261430740356445,-11.111552238464355,-11.278712272644043,-12.377246856689453,-11.094171524047852,-11.181596755981445,-11.084948539733887,-11.226984024047852,-12.267416000366211
1776940462.4029758,21500,-11.143399238586426,-11.246894836425781,-11.07864761352539,-11.304154396057129,-12.391515731811523,-11.120796203613281,-11.186788558959961,-11.048727035522461,-11.250195503234863,-12.311681747436523
1776940463.4030952,22000,-11.124606132507324,-11.234657287597656,-11.075818061828613,-11.319128036499023,-12.39657211303711,-11.10704231262207,-11.183679580688477,-11.034418106079102,-11.255636215209961,-12.345234870910645
1776940464.4031482,22500,-11.13786506652832,-11.2481050491333,-11.039751052856445,-11.297313690185547,-12.39657211303711,-11.124593734741211,-11.191072463989258,-10.986550331115723,-11.225507736206055,-12.368677139282227
1776940465.4233143,23000,-11.191741943359375,-11.290959358215332,-11.007919311523438,-11.263998031616211,-12.39657211303711,-11.190649032592773,-11.222047805786133,-10.9480619430542,-11.18368148803711,-12.38647747039795
1776940466.40306,23500,-11.208995819091797,-11.286787033081055,-10.968793869018555,-11.252837181091309,-12.39657211303711,-11.209965705871582,-11.20967960357666,-10.905485153198242,-11.166635513305664,-12.39657211303711
1776940467.403292,24000,-11.237238883972168,-11.368064880371094,-10.949308395385742,-11.2582426071167,-12.39657211303711,-11.244335174560547,-11.280679702758789,-10.89102554321289,-11.170944213867188,-12.38673210144043
1776940468.403309,24500,-11.3074312210083,-11.433961868286133,-10.95536994934082,-11.271327018737793,-12.39657211303711,-11.325369834899902,-11.339286804199219,-10.906067848205566,-11.189255714416504,-12.37031078338623
1776940469.4031324,25000,-11.346457481384277,-11.492416381835938,-11.025705337524414,-11.302504539489746,-12.39657211303711,-11.373539924621582,-11.39316177368164,-10.985505104064941,-11.220873832702637,-12.351566314697266
1776940470.4029894,25500,-11.437301635742188,-11.538859367370605,-11.08839225769043,-11.315374374389648,-12.39657211303711,-11.460406303405762,-11.443852424621582,-11.03674602508545,-11.235214233398438,-12.33315372467041
1776940471.4028904,26000,-11.529714584350586,-11.546266555786133,-11.107057571411133,-11.306783676147461,-12.39657211303711,-11.58070182800293,-11.457257270812988,-11.042495727539062,-11.224979400634766,-12.323758125305176
1776940472.4034076,26500,-11.568674087524414,-11.461044311523438,-11.112638473510742,-11.278111457824707,-12.39657211303711,-11.592306137084961,-11.386685371398926,-11.031179428100586,-11.191961288452148,-12.328039169311523
1776940473.4032605,27000,-11.567427635192871,-11.3901948928833,-11.081677436828613,-11.249624252319336,-12.39657211303711,-11.550773620605469,-11.323583602905273,-10.980764389038086,-11.160116195678711,-12.344460487365723
1776940474.403311,27500,-11.52335262298584,-11.314214706420898,-11.059748649597168,-11.217674255371094,-12.39657211303711,-11.481036186218262,-11.260530471801758,-10.95373249053955,-11.130331039428711,-12.363205909729004
1776940475.4028773,28000,-11.433242797851562,-11.307781219482422,-11.069732666015625,-11.218049049377441,-12.39657211303711,-11.364201545715332,-11.24468994140625,-10.98366928100586,-11.132061958312988,-12.367694854736328
1776940476.4028559,28500,-11.37589168548584,-11.361618041992188,-11.186445236206055,-11.24158763885498,-12.392549514770508,-11.273503303527832,-11.282367706298828,-11.120481491088867,-11.163779258728027,-12.348653793334961
1776940477.4032779,29000,-11.389142036437988,-11.408308982849121,-11.282462120056152,-11.280614852905273,-12.392549514770508,-11.308143615722656,-11.308197021484375,-11.238340377807617,-11.215782165527344,-12.333706855773926
1776940478.4030945,29500,-11.400375366210938,-11.409475326538086,-11.359339714050293,-11.301885604858398,-12.392549514770508,-11.365483283996582,-11.302528381347656,-11.339083671569824,-11.245354652404785,-12.313264846801758
1776940479.4030857,30000,-11.511483192443848,-11.412454605102539,-11.368890762329102,-11.294782638549805,-12.392549514770508,-11.496786117553711,-11.29712963104248,-11.355081558227539,-11.24358081817627,-12.309409141540527
1776940480.4567282,30500,-11.362290382385254,-11.295999526977539,-11.313264846801758,-11.278887748718262,-12.387906074523926,-11.48680305480957,-11.212928771972656,-11.303163528442383,-11.213562965393066,-12.249372482299805
1776940481.4565258,31000,-11.151768684387207,-11.116463661193848,-11.176389694213867,-11.237377166748047,-12.342818260192871,-11.441734313964844,-11.058664321899414,-11.169480323791504,-11.159241676330566,-12.15833568572998
1776940482.456576,31500,-10.917720794677734,-10.921911239624023,-11.058053970336914,-11.203404426574707,-12.265395164489746,-11.382155418395996,-10.902935981750488,-11.046899795532227,-11.106725692749023,-12.057232856750488
1776940483.4569461,32000,-10.696160316467285,-10.764702796936035,-10.968938827514648,-11.207956314086914,-12.16817569732666,-11.277569770812988,-10.800188064575195,-10.965322494506836,-11.082472801208496,-11.941011428833008
1776940484.494331,32500,-10.468608856201172,-10.64464282989502,-10.939519882202148,-11.232071876525879,-12.054254531860352,-11.134225845336914,-10.724260330200195,-10.935941696166992,-11.097020149230957,-11.821589469909668
